x,y
-0.97605594,0.0061037
-0.97592194,0.0061037
-0.97578794,0.0061037
-0.97565394,0.0061037
-0.97551994,0.0061037
-0.97538594,0.0061037
-0.97525194,0.0061037
-0.97511794,0.0061037
-0.97498394,0.0061037
-0.97484994,0.0061037
-0.97471594,0.0061037
-0.97458194,0.0061037
-0.97444794,0.0061037
-0.97431394,0.0061037
-0.97417994,0.0061037
-0.97404594,0.0061037
-0.97391194,0.0061037
-0.97377794,0.0061037
-0.97364394,0.0061037
-0.97350994,0.0061037
-0.97337594,0.0061037
-0.97324194,0.0061037
-0.97310794,0.0061037
-0.97297394,0.0061037
-0.97283994,0.0061037
-0.97270594,0.0061037
-0.97257194,0.0061037
-0.97243794,0.0061037
-0.97230394,0.0061037
-0.97216994,0.0061037
-0.97203594,0.0061037
-0.97190194,0.0061037
-0.97176794,0.0061037
-0.97163394,0.0061037
-0.97149994,0.0061037
-0.97136594,0.0061037
-0.97123194,0.0061037
-0.97109794,0.0061037
-0.97096394,0.0061037
-0.97082994,0.0061037
-0.97069594,0.0061037
-0.97056194,0.0061037
-0.97042794,0.0061037
-0.97029394,0.0061037
-0.97015994,0.0061037
-0.97002594,0.0061037
-0.96989194,0.0061037
-0.96975794,0.0061037
-0.96962394,0.0061037
-0.96948994,0.0061037
-0.96935594,0.0061037
-0.96922194,0.0061037
-0.96908794,0.0061037
-0.96895394,0.0061037
-0.96881994,0.0061037
-0.96868594,0.0061037
-0.96855194,0.0061037
-0.96841794,0.0061037
-0.96828394,0.0061037
-0.96814994,0.0061037
-0.96801594,0.0061037
-0.96788194,0.0061037
-0.96774794,0.0061037
-0.96761394,0.0061037
-0.96747994,0.0061037
-0.96734594,0.0061037
-0.96721194,0.0061037
-0.96707794,0.0061037
-0.96694394,0.0061037
-0.96680994,0.0061037
-0.96667594,0.0061037
-0.96654194,0.0061037
-0.96640794,0.0061037
-0.96627394,0.0061037
-0.96613994,0.0061037
-0.96600594,0.0061037
-0.96587194,0.0061037
-0.96573794,0.0061037
-0.96560394,0.0061037
-0.96546994,0.0061037
-0.96533594,0.0061037
-0.96520194,0.0061037
-0.96506794,0.0061037
-0.96493394,0.0061037
-0.96479994,0.0061037
-0.96466594,0.0061037
-0.96453194,0.0061037
-0.96439794,0.0061037
-0.96426394,0.0061037
-0.96412994,0.0061037
-0.96399594,0.0061037
-0.96386194,0.0061037
-0.96372794,0.0061037
-0.96359394,0.0061037
-0.96345994,0.0061037
-0.96332594,0.0061037
-0.96319194,0.0061037
-0.96305794,0.0061037
-0.96292394,0.0061037
-0.96278994,0.0061037
-0.96265594,0.0061037
-0.96252194,0.0061037
-0.96238794,0.0061037
-0.96225394,0.0061037
-0.96211994,0.0061037
-0.96198594,0.0061037
-0.96185194,0.0061037
-0.96171794,0.0061037
-0.96158394,0.0061037
-0.96144994,0.0061037
-0.96131594,0.0061037
-0.96118194,0.0061037
-0.96104794,0.0061037
-0.96091394,0.0061037
-0.96077994,0.0061037
-0.96064594,0.0061037
-0.96051194,0.0061037
-0.96037794,0.0061037
-0.96024394,0.0061037
-0.96010994,0.0061037
-0.95997594,0.0061037
-0.95984194,0.0061037
-0.95970794,0.0061037
-0.95957394,0.0061037
-0.95943994,0.0061037
-0.95930594,0.0061037
-0.95917194,0.0061037
-0.95903794,0.0061037
-0.95890394,0.0061037
-0.95876994,0.0061037
-0.95863594,0.0061037
-0.95850194,0.0061037
-0.95836794,0.0061037
-0.95823394,0.0061037
-0.95809994,0.0061037
-0.95796594,0.0061037
-0.95783194,0.0061037
-0.95769794,0.0061037
-0.95756394,0.0061037
-0.95742994,0.0061037
-0.95729594,0.0061037
-0.95716194,0.0061037
-0.95702794,0.0061037
-0.95689394,0.0061037
-0.95675994,0.0061037
-0.95662594,0.0061037
-0.95649194,0.0061037
-0.95635794,0.0061037
-0.95622394,0.0061037
-0.95608994,0.0061037
-0.95595594,0.0061037
-0.95582194,0.0061037
-0.95568794,0.0061037
-0.95555394,0.0061037
-0.95541994,0.0061037
-0.95528594,0.0061037
-0.95515194,0.0061037
-0.95501794,0.0061037
-0.95488394,0.0061037
-0.95474994,0.0061037
-0.95461594,0.0061037
-0.95448194,0.0061037
-0.95434794,0.0061037
-0.95421394,0.0061037
-0.95407994,0.0061037
-0.95394594,0.0061037
-0.95381194,0.0061037
-0.95367794,0.0061037
-0.95354394,0.0061037
-0.95340994,0.0061037
-0.95327594,0.0061037
-0.95314194,0.0061037
-0.95300794,0.0061037
-0.95287394,0.0061037
-0.95273994,0.0061037
-0.95260594,0.0061037
-0.95247194,0.0061037
-0.95233794,0.0061037
-0.95220394,0.0061037
-0.95206994,0.0061037
-0.95193594,0.0061037
-0.95180194,0.0061037
-0.95166794,0.0061037
-0.95153394,0.0061037
-0.95139994,0.0061037
-0.95126594,0.0061037
-0.95113194,0.0061037
-0.95099794,0.0061037
-0.95086394,0.0061037
-0.95072994,0.0061037
-0.95059594,0.0061037
-0.95046194,0.0061037
-0.95032794,0.0061037
-0.95019394,0.0061037
-0.95005994,0.0061037
-0.94992594,0.0061037
-0.94979194,0.0061037
-0.94965794,0.0061037
-0.94952394,0.0061037
-0.94938994,0.0061037
-0.94925594,0.0061037
-0.94912194,0.0061037
-0.94898794,0.0061037
-0.94885394,0.0061037
-0.94871994,0.0061037
-0.94858594,0.0061037
-0.94845194,0.0061037
-0.94831794,0.0061037
-0.94818394,0.0061037
-0.94804994,0.0061037
-0.94791594,0.0061037
-0.94778194,0.0061037
-0.94764794,0.0061037
-0.94751394,0.0061037
-0.94737994,0.0061037
-0.94724594,0.0061037
-0.94711194,0.0061037
-0.94697794,0.0061037
-0.94684394,0.0061037
-0.94670994,0.0061037
-0.94657594,0.0061037
-0.94644194,0.0061037
-0.94630794,0.0061037
-0.94617394,0.0061037
-0.94603994,0.0061037
-0.94590594,0.0061037
-0.94577194,0.0061037
-0.94563794,0.0061037
-0.94550394,0.0061037
-0.94536994,0.0061037
-0.94523594,0.0061037
-0.94510194,0.0061037
-0.94496794,0.0061037
-0.94483394,0.0061037
-0.94469994,0.0061037
-0.94456594,0.09521775
-0.94443194,0.0061037
-0.94429794,0.0061037
-0.94416394,0.0061037
-0.94402994,0.0061037
-0.94389594,0.0061037
-0.94376194,0.0061037
-0.94362794,0.09521775
-0.94349394,0.0061037
